fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,June,12,HARYANA,1201,AMBALA,42925,391.0181494,12,1,0,133,306,476,13682,7976,9735,0,0,21.58411,75.0832132,1124,1260,9939,16152,0,37359,52232,609,53.4991032,9051,36,57.52,25.39,99.64,NA
2024-2025,June,12,HARYANA,1206,PANIPAT,139545,324.2482464,15,0,0,118,100,662,34216,18480,16460,0,0,29.40904,140.35382,2246,2752,17989,34074,0,42350,71614,780,110.94478,22354,15,35.62,21.53,99.84,NA
2024-2025,June,12,HARYANA,1215,HISAR,446135,621.7719416,11,37,0,263,56,3960,227834,124182,83735,0,0,65.91846,1482.526345,20158,25794,68838,147811,0,119708,237803,4223,1416.607885,150271,6,54.61,14.85,99.59,NA
2024-2025,June,12,HARYANA,1218,FATEHABAD,261940,523.2508271,11,22,0,423,34,5360,212355,129184,82835,0,0,68.78146,1179.930754,18698,26321,60918,132536,0,74803,154649,5783,1111.149294,135232,11,57.85,16.81,101.36,NA
2024-2025,June,12,HARYANA,1220,JHAJJAR,120775,427.5907463,16,0,0,90,161,432,13962,5614,14381,0,0,21.09527,80.79549,848,989,15587,28037,0,63553,106649,522,59.70022,7722,22,48.93,42.56,98.73,NA
2024-2025,June,12,HARYANA,1204,KAITHAL,162150,1128.706602,9,10,0,176,133,1710,25949,13539,36452,0,0,25.98727,318.8753461,2721,3455,36209,75385,0,67858,125779,1886,292.8880761,17529,48,63.39,15.57,99.55,NA
2024-2025,June,12,HARYANA,1215,HISAR,446135,625.16275,11,37,0,252,58,3949,225595,122984,83723,0,0,65.91846,1476.254366,20008,25551,68827,147784,0,119683,237755,4201,1410.335906,148807,6,55.09,15.17,99.59,NA
2024-2025,June,12,HARYANA,1219,MEWAT,134780,523.201795,19,1,0,13,223,2110,94596,371,792,0,0,54.53808,549.46605,4847,5665,54326,63287,0,149753,191933,2123,494.92797,41940,15,16.5,6.29,98.99,NA
2024-2025,June,12,HARYANA,1222,CHARKI DADRI,44700,574.1725901,10,0,0,26,112,478,9050,3919,7100,0,0,12.13879,64.1014094,828,996,9188,16452,0,30572,53180,504,51.9626194,5358,1,83,1.54,99.44,NA
2024-2025,May,12,HARYANA,1201,AMBALA,17075,435.8681851,10,1,0,119,327,486,5857,2714,9678,0,0,0.0025,25.5312996,573,648,9867,16059,0,37348,52244,605,25.5287996,3686,36,59.2,14.47,99.98,NA
