fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,12,HARYANA,1209,FARIDABAD,24900,470.1571709,15,0,0,8,82,107,2545,360,679,0,0,0,11.9655,169,190,2003,2437,0,8911,9858,115,11.9655,1781,18,8.94,68.39,100,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,572.2647453,11,0,0,88,336,220,2984,2129,7630,0,0,0.4615,17.53788,251,295,6498,11902,0,43273,81050,308,17.07638,2155,6,43.64,50.39,103.54,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,487.9310262,8,10,0,280,147,3281,60994,39433,82353,0,0,0.66519,298.2738401,6978,9046,56165,130212,0,131263,279183,3561,297.6086501,38773,26,42.57,64.82,101.3,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,1667.621013,16,2,0,140,259,777,1066,0,730,0,0,0,17.77684,64,72,3639,4931,0,53365,68722,917,17.77684,505,30,75.39,75.39,100,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,441.6816077,10,1,0,17,155,433,4124,2691,6097,0,0,0,18.2149495,385,440,7432,13290,0,35412,58789,450,18.2149495,2697,0,100,100,108.95,NA
2025-2026,June,12,HARYANA,1206,PANIPAT,118011,356.2753422,17,2,0,125,82,779,53865,23905,14778,0,0,0,191.9077131,3121,4007,15868,30266,0,57519,88936,904,191.9077131,37459,56,20.65,63.8,100.04,NA
2025-2026,June,12,HARYANA,1212,MAHENDRAGARH,124700,322.2634107,16,0,0,57,182,1307,28493,8993,7576,0,0,0,91.8225136,1727,2149,14476,23868,0,67326,95129,1364,91.8225136,14989,31,26.79,45.08,100.19,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,444.6499381,8,11,0,280,147,3317,66931,42074,82380,0,0,0.66519,298.2738401,7732,10036,56190,130270,0,131399,279430,3597,297.6086501,42442,27,42.89,66.08,101.3,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,400.6808073,10,1,0,17,155,434,4546,2912,6097,0,0,0,18.2149495,426,488,7432,13292,0,35469,58855,451,18.2149495,2942,0,91.95,100,108.95,NA
2025-2026,June,12,HARYANA,1203,KURUKSHETRA,174588,441.3489502,19,4,0,26,236,2359,34532,11522,18428,0,0,4.85934,157.2659595,1785,2502,21648,48426,0,84118,149101,2385,152.4066195,21535,52,3.02,11.82,104.21,NA
2025-2026,June,12,HARYANA,1210,GURUGRAM,23750,434.6580348,16,0,0,11,139,126,5638,2736,1620,0,0,0,24.50602,346,366,2473,3183,0,14524,18731,137,24.50602,3967,0,56.71,57.58,100,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,619.2001718,10,0,0,72,338,234,2328,1556,7631,0,0,0.4615,14.87648,217,255,6494,11912,0,43225,81008,306,14.41498,1804,6,38.33,46.06,104.59,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,1667.621013,16,2,0,136,259,780,1066,0,730,0,0,0,17.77684,64,72,3639,4931,0,53044,68332,916,17.77684,505,30,75.39,75.39,100,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,391.6678412,12,1,0,17,158,429,3664,2418,6088,0,0,0,14.3507097,296,346,7421,13274,0,35366,58730,446,14.3507097,2340,0,100,100,111.71,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,438.3425052,20,0,0,91,427,475,26736,7488,8834,0,0,0.216,117.4112522,1326,1623,12089,22039,0,70547,102391,566,117.1952522,11202,13,74.74,75.76,100,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,425.7712956,14,1,0,62,71,986,46356,23966,20751,0,0,0,197.3705418,3230,3933,20654,37952,0,48392,78698,1048,197.3705418,28017,41,61.78,80.85,104.14,NA
2025-2026,June,12,HARYANA,1213,BHIWANI,223641,428.7491729,11,4,0,128,196,1305,40502,20146,39547,0,0,3.12551,176.7775,3682,4526,33421,71583,0,91633,176411,1433,173.65199,26270,20,44.97,63.72,100,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,747.251729,19,0,0,460,237,2876,51909,565,546,0,0,1.00414,388.89504,2604,3115,25117,32212,0,169357,215900,3336,387.8909,22860,8,48.6,56.7,100.88,NA
2025-2026,June,12,HARYANA,1201,AMBALA,44725,432.0876385,18,1,0,47,316,596,25268,15015,9302,0,0,0.02778,109.2076845,1375,1710,9219,15173,0,43509,60212,643,109.1799045,15844,40,47.54,72.41,100.02,NA
2025-2026,June,12,HARYANA,1203,KURUKSHETRA,174588,411.4922872,20,5,0,27,203,2709,51967,18283,18681,0,0,4.85934,218.6995369,2516,3528,21973,49060,0,84251,149387,2736,213.8401969,32701,58,2.63,18.19,102.96,NA
2025-2026,June,12,HARYANA,1207,SONIPAT,97093,457.1111213,15,5,0,72,187,1055,54301,28262,11999,0,0,0.01917,248.23508,3451,4110,13757,22881,0,47413,69335,1127,248.21591,37007,45,63.97,74.72,100.01,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,406.8794922,14,1,0,66,69,1006,55748,29794,20738,0,0,0,226.8271793,3858,4669,20685,37967,0,48451,78748,1072,226.8271793,34527,41,55.36,84.17,104.27,NA
2025-2026,June,12,HARYANA,1214,JIND,257950,397.1845991,15,18,0.040139,68,23,3163,215313,125709,47827,0,0,4.15194,859.3821549,14156,17569,38288,83498,0,75717,148862,3231,855.1900759,150668,57,22.73,64.64,100,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,442.7912884,8,22,0.1276697,296,122,3495,101350,63666,82729,0,0,0.66519,449.5618305,11440,15024,56496,130909,0,131629,279848,3791,448.7689708,63986,29,46.59,73.15,102.31,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,421.8335833,11,43,0,176,28,4244,232847,144622,85549,0,0,0,982.2268437,19496,27246,63475,137953,1,81157,166213,4420,982.2268437,152066,5,44.57,71.47,100.51,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,719.8949079,20,0,0,560,235,2821,56617,609,545,0,0,1.00414,408.58704,2714,3249,24839,31921,0,169688,216347,3381,407.5829,24776,9,47.9,55.34,100.79,NA
2025-2026,June,12,HARYANA,1220,JHAJJAR,77625,394.4335799,21,1,0,218,107,936,72877,29401,14588,0,0,0,287.45136,3399,3958,15000,27069,0,69061,113632,1154,287.45136,41378,50,45.79,81.5,100.01,NA
2025-2026,June,12,HARYANA,1201,AMBALA,44725,431.5885279,18,1,0,47,321,583,24455,14506,9288,0,0,0.02778,105.5727545,1351,1677,9208,15149,0,43488,60160,630,105.5449745,15438,39,46.85,72.58,100.02,NA
2025-2026,June,12,HARYANA,1210,GURUGRAM,23750,428.2128213,18,0,0,14,135,130,6926,3613,1621,0,0,0,29.65802,383,406,2481,3191,0,14527,18734,144,29.65802,5024,0,58.01,59.56,100,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,387.278991,8,13,0,294,145,3394,81103,50816,82510,0,0,0.66519,314.7600701,9233,12059,56270,130463,0,131558,279711,3688,314.0948801,51462,28,45.89,69.39,101.55,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,756.5504714,19,0,0,502,235,2864,53674,583,546,0,0,1.00414,407.07504,2701,3225,25099,32197,0,169837,216476,3366,406.0709,23352,8,45.79,52.89,100.8,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,430.3471663,10,1,0,22,155,433,4623,2949,6101,0,0,0,19.8949495,439,502,7437,13302,0,35473,58859,455,19.8949495,2999,0,92.08,100,108.05,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,449.9838306,21,0,0,91,424,479,30319,8721,8840,0,0,0.216,136.6465976,1416,1746,12102,22063,0,70713,102613,570,136.4305976,12399,13,73.37,75.2,100,NA
2025-2026,June,12,HARYANA,1207,SONIPAT,97093,433.4934262,15,3,0,72,199,984,45103,23612,11943,0,0,0.01917,195.53771,2997,3535,13695,22786,0,47392,69303,1056,195.51854,30757,42,63.12,74.83,100.01,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,400.6808073,10,1,0,22,155,432,4546,2912,6101,0,0,0,18.2149495,426,488,7437,13302,0,35471,58857,454,18.2149495,2942,0,91.95,100,108.95,NA
2025-2026,June,12,HARYANA,1204,KAITHAL,172650,391.9954326,11,8,0,33,109,2181,42385,22263,35906,0,0,0.031,166.1782641,3727,4523,34858,72945,0,88170,149646,2214,166.1472641,30810,31,69.6,71.81,103.7,NA
2025-2026,June,12,HARYANA,1207,SONIPAT,97093,475.0604967,15,4,0,72,191,1052,48201,25433,11999,0,0,0.01917,229.00308,3184,3766,13757,22880,0,47402,69319,1124,228.98391,32782,45,61.25,72.25,100.01,NA
2025-2026,June,12,HARYANA,1214,JIND,257950,366.4285052,15,18,0.040139,68,26,3161,214193,124929,47738,0,0,4.15194,789.0562871,14122,17545,38239,83398,0,75659,148749,3229,784.8642081,149680,57,23.03,64.81,100,NA
2025-2026,June,12,HARYANA,1215,HISAR,670950,414.5760332,10,14,0,68,54,3376,206599,112074,86094,0,0,3.10742,859.6173589,19852,24881,71842,152737,0,134814,262062,3444,856.5099389,137992,8,44.79,67.35,100.02,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,444.6533267,8,11,0,280,145,3327,68615,43358,82442,0,0,0.66519,305.7640701,7843,10197,56230,130366,0,131491,279589,3607,305.0988801,43413,27,43.61,66.73,101.25,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,749.9476469,19,0,0,462,235,2881,53674,583,546,0,0,1.00414,403.53104,2701,3225,25116,32214,0,169826,216459,3343,402.5269,23352,8,47.01,54.86,100.81,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,401.8208138,14,1,0,66,71,995,53800,28789,20737,0,0,0,216.1795978,3731,4515,20666,37947,0,48441,78738,1061,216.1795978,33220,41,56.31,83.93,103.69,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,506.1952756,11,0,0,88,331,223,4445,2757,7641,0,0,0.4615,22.96188,398,457,6512,11934,0,43388,81216,311,22.50038,3321,6,45.06,49.77,102.41,NA
2025-2026,June,12,HARYANA,1212,MAHENDRAGARH,124700,345.0656865,17,0,0,59,163,1359,31420,10070,7602,0,0,0,108.4196387,1846,2335,14523,23965,0,67376,95211,1418,108.4196387,16674,33,24.67,44.25,100.16,NA
2025-2026,June,12,HARYANA,1216,SIRSA,241416,407.9348993,8,13,0.1276697,294,132,3445,89661,56532,82692,0,0,0.66519,366.5513698,9984,13109,56418,130765,0,131599,279796,3739,365.7585101,56801,28,46.11,70.82,101.26,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,465.3089674,21,0,0,91,419,483,36472,10332,8904,0,0,0.216,169.9234866,1718,2123,12205,22264,0,70801,102746,574,169.7074866,14956,13,73.42,74.96,100.04,NA
2025-2026,June,12,HARYANA,1204,KAITHAL,172650,348.3765106,12,8,0,33,102,2265,50831,27382,35934,0,0,0.031,177.1142641,4075,4947,34877,72991,0,88223,149740,2298,177.0832641,37514,31,72.9,74.73,103.45,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,406.6199228,15,1,0,66,69,1019,61514,32965,20793,0,0,0,250.1281793,4027,4890,20749,38097,0,48460,78773,1085,250.1281793,38158,40,55.55,85.57,103.79,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,370.8126905,11,0,0,88,326,231,7218,4929,7668,0,0,0.4615,27.22676,614,705,6533,11966,0,43437,81281,319,26.76526,5408,6,52.74,62.03,101.93,NA
2025-2026,June,12,HARYANA,1217,PANCHKULA,33070,413.1150684,18,0,0,31,69,359,19823,5819,2849,0,0,0,81.8918,1062,1206,6003,10393,0,18129,27007,390,81.8918,8526,51,46.3,66.36,100,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,410.8729992,12,43,0,177,26,4268,256340,161191,85611,0,0,0,1053.231846,20480,28775,63522,138032,1,81194,166276,4445,1053.231846,168467,5,44.94,71.88,100.51,NA
2025-2026,June,12,HARYANA,1207,SONIPAT,97093,447.2851898,16,5,0,73,180,1080,58831,30186,12065,0,0,0.01917,263.16152,3632,4317,13832,23003,0,47475,69410,1153,263.14235,40557,46,61.65,74.82,100.01,NA
2025-2026,June,12,HARYANA,1215,HISAR,670950,379.6731377,11,21,0,72,28,3660,329670,184085,86599,0,0,3.10742,1254.775853,28069,35757,72420,153735,0,135031,262430,3732,1251.668433,221309,11,39.18,70.44,100.01,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,417.8188741,12,43,0,177,23,4276,264316,165617,85631,0,0,0,1104.362135,20910,29392,63544,138075,1,81203,166294,4453,1104.362135,173813,5,44.16,70.74,100.48,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,396.5750894,12,6,0,24,134,450,14542,8052,6172,0,0,0,57.6699495,1150,1358,7498,13412,0,35538,58934,474,57.6699495,9471,0,94.19,100,102.47,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,448.4334692,21,0,0,93,418,482,38228,11165,8942,0,0,0.216,171.6431466,1793,2224,12239,22316,0,70815,102764,575,171.4271466,15951,13,70.73,74.13,100.04,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,452.151945,12,0,0,88,320,236,9306,6039,7669,0,0,0.4615,42.53876,775,889,6539,11974,0,43454,81305,324,42.07726,7231,6,60.2,68.5,101.12,NA
2025-2026,June,12,HARYANA,1212,MAHENDRAGARH,124700,362.0156774,17,0,0,59,142,1434,37059,12162,7691,0,0,0,134.1593899,2101,2656,14642,24172,0,67427,95343,1493,134.1593899,19981,36,24.74,42.59,100.13,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,622.3168841,21,0,0,601,234,2797,66447,680,545,0,0,1.00414,414.51504,3074,3615,24851,31935,0,169803,216489,3398,413.5109,28844,9,49.14,56.72,100.77,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,387.6897448,12,6,0,24,134,455,15126,8287,6188,0,0,0,58.6419508,1173,1387,7507,13438,0,35540,58943,479,58.6419508,9712,0,92.79,100,102.43,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,466.9383937,21,0,0,91,419,480,36333,10291,8896,0,0,0.216,169.8687266,1710,2113,12199,22255,0,70786,102719,571,169.6527266,14871,13,73.33,74.87,100,NA
2025-2026,June,12,HARYANA,1206,PANIPAT,118011,380.4560114,17,4,0,126,71,939,69611,31349,14878,0,0,0,264.8392341,3918,5020,15988,30497,0,57568,89063,1065,264.8392341,47093,60,27.3,64.28,100.03,NA
2025-2026,June,12,HARYANA,1210,GURUGRAM,23750,403.7383344,20,0,0,15,133,131,7865,4065,1622,0,0,0,31.75402,392,415,2482,3192,0,14527,18734,146,31.75402,5624,0,59,60.37,100,NA
2025-2026,June,12,HARYANA,1211,REWARI,90960,370.2101244,11,0,0,88,327,230,7072,4851,7668,0,0,0.4615,26.64276,601,685,6533,11966,0,43423,81264,318,26.18126,5342,6,53.51,61.48,101.98,NA
2025-2026,June,12,HARYANA,1220,JHAJJAR,77625,397.6974781,21,1,0,218,104,947,76292,31495,14606,0,0,0,303.41136,3505,4087,15027,27102,0,69072,113644,1165,303.41136,43796,50,48.05,82.16,100.01,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,360.748924,12,2,0,24,145,445,9340,5079,6123,0,0,0,33.6939495,776,915,7468,13350,0,35488,58873,469,33.6939495,5860,0,90.94,100,104.43,NA
2025-2026,June,12,HARYANA,1201,AMBALA,44725,428.7900226,18,1,0,47,315,596,25653,15341,9303,0,0,0.02778,110.0252845,1406,1744,9221,15175,0,43518,60230,643,109.9975045,16205,40,47.58,72.59,100.02,NA
2025-2026,June,12,HARYANA,1204,KAITHAL,172650,386.7456614,11,8,0,33,105,2226,45485,24343,35925,0,0,0.031,175.9422641,3892,4729,34871,72977,0,88178,149669,2259,175.9112641,33139,32,69.73,71.79,103.48,NA
2025-2026,June,12,HARYANA,1206,PANIPAT,118011,380.4560114,17,4,0,126,71,935,69611,31349,14868,0,0,0,264.8392341,3918,5020,15976,30479,0,57565,89056,1061,264.8392341,47093,60,27.3,64.28,100.03,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,399.8363816,14,1,0,66,69,1009,56730,30163,20771,0,0,0,226.8271793,3906,4726,20714,38033,0,48453,78755,1075,226.8271793,35135,40,55.75,84.43,104.27,NA
2025-2026,June,12,HARYANA,1213,BHIWANI,223641,389.4245075,12,8,0,128,172,1387,80816,44274,39739,0,0,3.12905,317.84636,6717,8239,33643,71956,0,91762,176578,1515,314.71731,54530,23,60.94,76.55,100.43,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,402.6652771,21,0,0,95,413,484,44718,13953,9028,0,0,0.216,180.2798586,2081,2580,12332,22458,0,70854,102836,579,180.0638586,19594,13,68.05,73.57,100.18,NA
2025-2026,June,12,HARYANA,1210,GURUGRAM,23750,416.1573662,22,0,0,15,129,137,9659,5330,1624,0,0,0,40.19664,421,447,2487,3197,0,14530,18737,152,40.19664,7043,0,54.58,60.02,103.57,NA
2025-2026,June,12,HARYANA,1214,JIND,257950,393.6706967,18,21,0.040139,69,16,3568,319389,186911,48144,0,0,4.15194,1261.532981,17665,22079,38641,84157,0,75779,148987,3637,1257.340902,225394,59,27.33,69.04,100,NA
2025-2026,June,12,HARYANA,1217,PANCHKULA,33070,407.2369765,19,0,0,32,67,362,23496,7222,2852,0,0,0,95.6844,1220,1384,6017,10417,0,18137,27023,394,95.6844,10241,51,44.45,68.57,100,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,393.4633529,14,9,0,24,118,465,23296,12555,6226,0,0,0,91.6612227,1664,2030,7540,13502,0,35572,58984,489,91.6612227,14534,0,95.3,100,101.51,NA
2025-2026,June,12,HARYANA,1203,KURUKSHETRA,174588,350.118235,19,5,0,27,190,2936,71007,24056,18910,0,0,4.85934,253.4677951,3628,4985,22259,49642,0,84330,149566,2963,248.6084551,46183,61,10.62,27.46,103.15,NA
2025-2026,June,12,HARYANA,1210,GURUGRAM,23750,416.1573662,22,0,0,15,129,137,9659,5330,1624,0,0,0,40.19664,421,447,2486,3196,0,14530,18737,152,40.19664,7043,0,54.58,60.02,103.57,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,379.4707421,13,9,0,24,124,464,20778,11578,6222,0,0,0,78.8464308,1517,1837,7534,13494,0,35563,58973,488,78.8464308,13351,0,94.75,100,101.77,NA
2025-2026,June,12,HARYANA,1204,KAITHAL,172650,340.8786528,13,15,0,36,84,2441,92719,47152,36021,0,0,0.031,316.0902781,7057,8513,34980,73165,0,88264,149823,2477,316.0592781,70650,31,82.44,84.98,101.87,NA
2025-2026,June,12,HARYANA,1202,YAMUNANAGAR,110100,422.7650385,21,0,0,95,418,483,41421,12327,8983,0,0,0.216,175.3295066,1903,2358,12280,22376,0,70834,102803,578,175.1135066,18132,13,69.7,73.09,100.04,NA
2025-2026,June,12,HARYANA,1203,KURUKSHETRA,174588,378.0085871,20,5,0,27,194,2882,63359,21856,18880,0,0,4.85934,244.3618007,3148,4371,22200,49534,0,84317,149527,2909,239.5024607,40688,60,6.21,22.64,102.78,NA
2025-2026,June,12,HARYANA,1207,SONIPAT,97093,428.0000149,16,6,0,73,176,1126,67038,34512,12130,0,0,0.01917,286.94182,4090,4848,13914,23135,0,47552,69528,1199,286.92265,46361,46,62.32,76.56,100.75,NA
2025-2026,June,12,HARYANA,1212,MAHENDRAGARH,124700,343.5049427,18,0,0,59,139,1457,42942,13530,7718,0,0,0,147.5078925,2297,2913,14699,24270,0,67457,95399,1516,147.5078925,23490,36,22.73,47.43,100.4,NA
2025-2026,June,12,HARYANA,1220,JHAJJAR,77625,377.2013733,22,1,0,218,95,1049,94809,40312,14700,0,0,0,357.62085,4123,4833,15166,27321,0,69093,113679,1267,357.62085,54847,52,52.65,82.35,100.01,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,533.513065,17,2,0,190,257,736,8075,79,730,0,0,0,43.08118,461,508,3700,4996,0,53753,69173,926,43.08118,3355,30,48.26,92.72,101.5,NA
2025-2026,June,12,HARYANA,1206,PANIPAT,118011,366.3884578,18,6,0,127,67,1027,88994,40554,14961,0,0,0,326.0637441,4767,6138,16112,30701,0,57575,89175,1154,326.0637441,60005,61,31.53,65.34,100.02,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,421.0841236,12,45,0,177,21,4320,280122,175006,85677,0,0,0,1179.549269,21962,30942,63596,138156,1,81246,166356,4497,1179.549269,183815,5,43.35,69.58,100.45,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,664.3309615,21,0,0,602,229,2821,71253,903,545,0,0,1.00414,474.35988,3260,3830,24886,31982,0,169836,216529,3423,473.35574,31111,9,49.43,57.74,100.6,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,581.6789686,18,2,0,190,257,733,6205,66,730,0,0,0,36.09318,336,368,3700,4996,0,53749,69169,923,36.09318,2568,30,32.81,90.55,101.99,NA
2025-2026,June,12,HARYANA,1208,ROHTAK,257250,374.6267008,16,1,0,68,67,1037,69411,37284,20836,0,0,0,260.0321393,4286,5198,20805,38173,0,48481,78807,1105,260.0321393,42486,39,59.59,87.98,103.61,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,415.9738757,12,43,0,177,22,4298,273021,170648,85647,0,0,0,1135.696035,21483,30285,63560,138100,1,81224,166325,4475,1135.696035,179438,5,43.49,69.63,100.46,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,386.1514431,13,6,0,24,132,456,16132,9055,6188,0,0,0,62.2939508,1235,1460,7514,13453,0,35542,58945,480,62.2939508,10500,0,93.24,100,102.28,NA
2025-2026,June,12,HARYANA,1217,PANCHKULA,33070,401.2091285,19,0,0,31,68,363,22479,6821,2852,0,0,0,90.1878,1170,1326,6017,10417,0,18132,27015,394,90.1878,9620,51,45.74,69.01,100,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,418.00579,12,45,0,177,21,4308,279945,174937,85665,0,0,0,1170.186309,21956,30931,63587,138142,1,81245,166356,4485,1170.186309,183699,5,43.36,69.6,100.45,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,638.0321463,22,0,0,602,233,2805,69246,903,545,0,0,1.00414,442.81588,3134,3692,24866,31953,0,169836,216529,3407,441.81174,30106,9,49.22,57.75,100.68,NA
2025-2026,June,12,HARYANA,1220,JHAJJAR,77625,373.6952926,22,1,0,218,95,1042,94809,40312,14682,0,0,0,354.29677,4123,4833,15142,27286,0,69092,113677,1260,354.29677,54847,52,52.65,82.35,100.01,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,581.6789686,18,2,0,190,257,731,6205,66,730,0,0,0,36.09318,336,368,3675,4971,0,53749,69169,921,36.09318,2568,30,32.81,90.55,101.99,NA
2025-2026,July,12,HARYANA,1201,AMBALA,53925,417.9024481,20,2,0,49,295,712,35301,21229,9466,0,0,0.02778,147.5515232,1754,2159,9373,15433,0,43589,60339,761,147.5237432,22260,46,43.88,65.96,100.02,NA
2025-2026,July,12,HARYANA,1202,YAMUNANAGAR,145965,429.7847606,21,0,0,97,409,484,49492,15990,9036,0,0,0.216,212.9250737,2282,2831,12346,22488,0,70869,102862,581,212.7090737,21809,13,70.24,75.92,100.15,NA
2025-2026,July,12,HARYANA,1211,REWARI,114160,399.3058441,12,0,0,85,300,261,17231,11750,7820,0,0,0.4615,69.26589,1339,1528,6662,12188,0,43531,81404,346,68.80439,13407,6,58.07,72.85,100.64,NA
2025-2026,July,12,HARYANA,1213,BHIWANI,325698,370.7162927,14,10,0,129,148,1470,132188,71265,40125,0,0,3.12905,493.171503,9393,11686,33994,72724,0,91978,176933,1599,490.042453,88895,22,62.4,76.41,101.01,NA
2025-2026,July,12,HARYANA,1216,SIRSA,404910,358.9903003,9,45,0.1276697,343,82,4018,227867,143387,84648,0,0,0.66519,818.8132872,24255,31986,57826,133816,0,132415,281370,4361,818.0204275,145886,33,62.35,79.38,102.09,NA
2025-2026,July,12,HARYANA,1203,KURUKSHETRA,268800,383.9853996,19,5,0,27,181,3096,80430,27762,18981,0,0,4.85934,313.6987969,4022,5530,22374,49870,0,84349,149619,3123,308.8394569,52800,62,12.52,29.3,103.47,NA
2025-2026,July,12,HARYANA,1205,KARNAL,497020,386.7480774,16,22,0,178,110,3040,185501,104170,48121,0,0,0.57728,717.9988311,11324,14149,41328,86193,0,121162,204372,3218,717.4215511,136118,58,50.83,71.25,100.52,NA
2025-2026,July,12,HARYANA,1210,GURUGRAM,32975,414.0524017,23,0,0,15,129,138,10992,5950,1625,0,0,0,45.51264,467,493,2488,3198,0,14531,18738,153,45.51264,7942,0,53.27,62.84,103.11,NA
2025-2026,July,12,HARYANA,1212,MAHENDRAGARH,186550,348.7185755,19,1,0,59,130,1514,51864,16893,7799,0,0,0,180.859402,2683,3412,14800,24442,0,67483,95470,1573,180.859402,28022,38,20.19,50.71,100.32,NA
2025-2026,July,12,HARYANA,1220,JHAJJAR,107775,386.1991273,24,1,0,222,89,1092,109086,46732,14732,0,0,0,421.28918,4525,5321,15209,27394,0,69121,113721,1314,421.28918,63578,53,54.69,83.52,100,NA
2025-2026,July,12,HARYANA,1222,CHARKI DADRI,60500,398.2415145,14,9,0,24,114,473,24952,13360,6244,0,0,0,99.3692227,1747,2135,7557,13533,0,35578,58991,497,99.3692227,15574,0,95.62,100,101.39,NA
2025-2026,June,12,HARYANA,1213,BHIWANI,223641,395.1560858,13,9,0,129,148,1456,116707,62934,40071,0,0,3.12905,464.303863,8794,10825,33942,72606,0,91937,176872,1585,461.174813,78793,23,59.36,74.81,101.08,NA
2025-2026,June,12,HARYANA,1219,MEWAT,222386,633.1181321,21,0,0,602,227,2878,79191,1003,548,0,0,1.00414,502.37672,3650,4293,24922,32037,0,169949,216676,3480,501.37258,35185,8,48.26,56.27,100.54,NA
2025-2026,June,12,HARYANA,1221,PALWAL,43635,376.6729317,18,11,0,190,257,739,11386,616,743,0,0,0,42.88798,602,733,3794,5141,0,53837,69280,929,42.88798,4925,29,58.19,89.79,101.4,NA
2025-2026,June,12,HARYANA,1222,CHARKI DADRI,52700,382.526891,14,9,0,24,118,472,24442,13113,6244,0,0,0,93.4972227,1721,2098,7557,13533,0,35576,58989,496,93.4972227,15201,0,95.52,100,101.48,NA
2025-2026,June,12,HARYANA,1215,HISAR,670950,389.6134393,12,30,0,76,21,4089,468947,267329,87420,0,0,3.10742,1830.187955,36149,46753,73226,155222,0,135225,262782,4165,1827.080535,314146,15,41.06,72.35,100.01,NA
2025-2026,June,12,HARYANA,1218,FATEHABAD,603173,399.524587,13,47,0,181,13,4384,336492,209257,85794,0,0,0,1344.368273,25276,35587,63733,138389,1,81305,166461,4565,1344.368273,221776,6,43.88,69.34,101.26,NA
